net_number,Species,obs_yr,num_birds,perc_species
4,COYE,2021,5,5.747126436781609
4,DOWO,2008,1,1.4285714285714286
4,DOWO,2010,2,1.7543859649122806
4,DOWO,2012,2,1.5873015873015872
4,DOWO,2013,2,3.0303030303030303
4,DOWO,2014,2,2.0202020202020203
4,DOWO,2016,3,2.272727272727273
4,DOWO,2017,1,0.9009009009009009
4,DOWO,2018,2,1.183431952662722
4,DOWO,2019,1,1.098901098901099
4,DOWO,2021,1,1.1494252873563218
4,EABL,2007,2,25
4,EABL,2009,1,0.7936507936507936
4,EABL,2010,7,6.140350877192982
4,EABL,2013,1,1.5151515151515151
4,EABL,2014,4,4.040404040404041
4,EABL,2015,4,3.418803418803419
4,EABL,2016,6,4.545454545454546
4,EABL,2017,7,6.306306306306306
4,EABL,2018,7,4.142011834319527
4,EABL,2019,1,1.098901098901099
4,EABL,2020,3,2.8846153846153846
4,EABL,2021,1,1.1494252873563218
4,EAKI,2018,1,0.591715976331361
4,EAKI,2020,1,0.9615384615384616
4,EAPH,2008,3,4.285714285714286
4,EAPH,2009,20,15.873015873015872
4,EAPH,2010,5,4.385964912280701
4,EAPH,2011,5,5.88235294117647
4,EAPH,2012,7,5.555555555555555
4,EAPH,2013,6,9.090909090909092
4,EAPH,2014,5,5.05050505050505
4,EAPH,2015,3,2.564102564102564
4,EAPH,2016,20,15.151515151515152
4,EAPH,2017,6,5.405405405405405
4,EAPH,2018,20,11.834319526627219
4,EAPH,2019,17,18.681318681318682
4,EAPH,2020,21,20.192307692307693
4,EAPH,2021,9,10.344827586206897
4,EASO,2008,1,1.4285714285714286
4,EASO,2009,1,0.7936507936507936
4,EASO,2010,2,1.7543859649122806
4,EASO,2012,1,0.7936507936507936
4,EASO,2013,3,4.545454545454546
4,EASO,2014,1,1.0101010101010102
4,EATO,2012,1,0.7936507936507936
4,EATO,2015,2,1.7094017094017095
4,EATO,2016,2,1.5151515151515151
4,EATO,2017,2,1.8018018018018018
4,EATO,2020,1,0.9615384615384616
4,EAWP,2009,1,0.7936507936507936
4,EWCS,2012,1,0.7936507936507936
4,EWCS,2013,1,1.5151515151515151
4,EWCS,2014,2,2.0202020202020203
4,EWCS,2015,1,0.8547008547008548
4,FISP,2007,1,12.5
4,FISP,2008,15,21.428571428571427
4,FISP,2009,17,13.492063492063492
4,FISP,2010,7,6.140350877192982
4,FISP,2011,11,12.941176470588237
4,FISP,2012,8,6.349206349206349
4,FISP,2013,4,6.0606060606060606
4,FISP,2014,3,3.0303030303030303
4,FISP,2015,13,11.11111111111111
4,FISP,2016,18,13.636363636363635
4,FISP,2017,21,18.91891891891892
4,FISP,2018,13,7.6923076923076925
4,FISP,2019,2,2.197802197802198
4,FISP,2020,12,11.538461538461538
4,FISP,2021,10,11.494252873563218
4,FOSP,2009,1,0.7936507936507936
4,GCFL,2011,1,1.1764705882352942
4,GCKI,2018,1,0.591715976331361
4,GRCA,2011,1,1.1764705882352942
4,GRCA,2014,1,1.0101010101010102
4,GRCA,2015,1,0.8547008547008548
4,GRCA,2018,1,0.591715976331361
4,GRSP,2010,1,0.8771929824561403
4,HAWO,2018,1,0.591715976331361
4,HOFI,2016,8,6.0606060606060606
4,HOFI,2018,1,0.591715976331361
4,HOWR,2008,1,1.4285714285714286
4,HOWR,2010,4,3.508771929824561
4,HOWR,2011,1,1.1764705882352942
4,HOWR,2012,2,1.5873015873015872
4,HOWR,2014,5,5.05050505050505
4,HOWR,2015,2,1.7094017094017095
4,HOWR,2016,3,2.272727272727273
4,HOWR,2017,1,0.9009009009009009
4,HOWR,2019,3,3.296703296703297
4,HOWR,2020,1,0.9615384615384616
4,INBU,2008,3,4.285714285714286
4,INBU,2009,2,1.5873015873015872
4,INBU,2010,7,6.140350877192982
4,INBU,2011,8,9.411764705882353
4,INBU,2012,4,3.1746031746031744
4,INBU,2013,1,1.5151515151515151
4,INBU,2014,11,11.11111111111111
4,INBU,2015,7,5.982905982905983
4,INBU,2016,6,4.545454545454546
4,INBU,2017,9,8.108108108108109
4,INBU,2018,9,5.325443786982249
4,INBU,2019,3,3.296703296703297
4,INBU,2020,2,1.9230769230769231
4,INBU,2021,7,8.045977011494253
4,LISP,2011,1,1.1764705882352942
4,LISP,2012,1,0.7936507936507936
4,LOSH,2019,1,1.098901098901099
4,MODO,2016,2,1.5151515151515151
4,MYWA,2010,4,3.508771929824561
4,MYWA,2011,1,1.1764705882352942
4,MYWA,2015,4,3.418803418803419
4,MYWA,2016,2,1.5151515151515151
4,MYWA,2018,2,1.183431952662722
4,MYWA,2021,4,4.597701149425287
4,NOCA,2008,2,2.857142857142857
4,NOCA,2010,3,2.631578947368421
4,NOCA,2011,4,4.705882352941177
4,NOCA,2012,5,3.968253968253968
4,NOCA,2013,2,3.0303030303030303
4,NOCA,2014,3,3.0303030303030303
4,NOCA,2015,3,2.564102564102564
4,NOCA,2016,2,1.5151515151515151
4,NOCA,2017,9,8.108108108108109
4,NOCA,2018,5,2.9585798816568047
4,NOCA,2019,14,15.384615384615385
4,NOCA,2021,5,5.747126436781609
4,NOMO,2008,2,2.857142857142857
4,NOMO,2009,1,0.7936507936507936
4,NOMO,2011,2,2.3529411764705883
4,NOMO,2012,6,4.761904761904762
4,NOMO,2013,3,4.545454545454546
4,NOMO,2014,3,3.0303030303030303
4,NOMO,2015,9,7.6923076923076925
4,NOMO,2016,6,4.545454545454546
4,NOMO,2018,3,1.7751479289940828
4,NOMO,2019,4,4.395604395604396
4,NOWA,2010,1,0.8771929824561403
4,NOWA,2013,1,1.5151515151515151
4,NOWA,2015,2,1.7094017094017095
4,NOWA,2020,2,1.9230769230769231
4,NSWO,2012,2,1.5873015873015872
4,NSWO,2013,1,1.5151515151515151
4,NSWO,2018,5,2.9585798816568047
4,OROR,2011,1,1.1764705882352942
4,OROR,2016,1,0.7575757575757576
4,PIWA,2008,1,1.4285714285714286
4,PIWA,2009,1,0.7936507936507936
4,PIWA,2010,3,2.631578947368421
4,PIWA,2018,1,0.591715976331361
4,PRAW,2012,2,1.5873015873015872
4,RBWO,2009,1,0.7936507936507936
4,RBWO,2014,1,1.0101010101010102
